sjr_slug,sjr_materia
1204_archeology_arts_and_humanities_3302_archeology,1204|Archeology (arts and Humanities); 3302|Archeology
1204_archeology_arts_and_humanities_1901_earth_and_planetary,1204|Archeology (arts and Humanities); 1901|Earth and Planetary Sciences (miscellaneous)
1101_agricultural_and_biological_sciences_miscellaneous,1101|Agricultural and Biological Sciences (miscellaneous)
1105_ecology_evolution_behavior_and_systematics,"1105|Ecology, Evolution, Behavior and Systematics"
1202_history_1204_archeology_arts_and_humanities_3302_archeo,1202|History; 1204|Archeology (arts and Humanities); 3302|Archeology
1912_space_and_planetary_science_1913_stratigraphy,1912|Space and Planetary Science; 1913|Stratigraphy
1904_earth_surface_processes_1201_arts_and_humanities_miscel,1904|Earth-surface Processes; 1201|Arts and Humanities (miscellaneous); 1901|Earth and Planetary Sciences (miscellaneous)
1204_archeology_arts_and_humanities_3302_archeology_3316_cul,1204|Archeology (arts and Humanities); 3302|Archeology; 3316|Cultural Studies
1904_earth_surface_processes,1904|Earth-surface Processes
1201_arts_and_humanities_miscellaneous_1904_earth_surface_pr,1201|Arts and Humanities (miscellaneous); 1904|Earth-Surface Processes; 1901|Earth and Planetary Sciences (miscellaneous)
1204_archeology_arts_and_humanities_3302_archeology_3314_ant,1204|Archeology (arts and Humanities); 3302|Archeology; 3314|Anthropology
1311_genetics_1312_molecular_biology_1105_ecology_evolution_,"1311|Genetics; 1312|Molecular Biology; 1105|Ecology, Evolution, Behavior and Systematics"
1207_history_and_philosophy_of_science_3314_anthropology,1207|History and Philosophy of Science; 3314|Anthropology
2701_medicine_miscellaneous_1301_biochemistry_genetics_and_m,"2701|Medicine (miscellaneous); 1301|Biochemistry, Genetics and Molecular Biology (miscellaneous); 1101|Agricultural and Biological Sciences (miscellaneous)"
1911_paleontology,1911|Paleontology
1701_computer_science_miscellaneous,1701|Computer Science (miscellaneous)
1000_multidisciplinary,1000|Multidisciplinary
1201_arts_and_humanities_miscellaneous_3302_archeology,1201|Arts and Humanities (miscellaneous); 3302|Archeology
1105_ecology_evolution_behavior_and_systematics_2701_medicin,"1105|Ecology, Evolution, Behavior and Systematics; 2701|Medicine (miscellaneous)"
1202_history_1204_archeology_arts_and_humanities_1206_conser,1202|History; 1204|Archeology (arts and Humanities); 1206|Conservation; 3302|Archeology; 3314|Anthropology
1907_geology_2306_global_and_planetary_change_1204_archeolog,"1907|Geology; 2306|Global and Planetary Change; 1204|Archeology (arts and Humanities); 1105|Ecology, Evolution, Behavior and Systematics; 3302|Archeology"
10_multidisciplinary,10|Multidisciplinary
