year,title,issn,id,doi,url_publicacion,conc_ciencia,titulo,abstract,tipo_fuente,autores,sjr_materia,fuente,,,,,,,,,Total articulos 2000-2024: 754
,Roc del Migdia,,960337,,,,"Materias primas y cadenas operativas en el yacimiento Epipaleolítico de El Roc del Migdia (Vilanova de Sau, Barcelona)","En esta comunicacion se pretende dar a conocer los ultimos resultados de la investigacion que se esta llevando a cabo en el yacimiento epipaleolitico del Roc del Migdia (Barcelona). Se ofrecen las dotaciones absolutas de los niveles excavados durante las ultimas campanas, asi como un pequeno avance de los datos paleoecologicos. Se incide principalmente en el estudio del material litico perteneciente a este yacimiento, el cual pone de manifiesto la importancia de la correlacion entre la naturaleza de las materias primas y la tecnologia, que en este caso se traduce en la identificacion de diferentes cadenas operativas segun se trate de cada materia prima (cuarzo, caliza y silex). Se define el concepto de cadena operativa como un proceso que abarca desde la captacion de la materia prima hasta la utilizacion o deshecho de las piezas resultantes de su transformacion.",['Revista'],1|Amelia del Carmen Rodríguez Rodríguez; 2|Riker Yll Aguirre,,,,,,,,,,,175 artículos descargados
1915,El arte rupestre en España,,958519,,,,El arte rupestre en España,,['Revista'],"1|Cabré Aguiló, Juan, Cerralbo, Enrique Aguilera y Gamboa",,,,,,,,,,,Recuperados hasta mediados 2016: 50 aprox (color verde)
1927,Las pinturas rupestres de los alrededores de Tormón,,959461,,https://www.cervantesvirtual.com/nd/ark:/59851/bmc15537,,Las pinturas rupestres de los alrededores de Tormón (Teruel),,['Revista'],1|Hugo Obermaier; 2|Henri Breuil,,,,,,,,,,,
1935,Excavaciones en la Cueva Remigia (Castellón),,958846,,,,Excavaciones en la Cueva Remigia (Castellón) : memoria,,['Libro'],1|Juan B. Porcar; 2|Hugo Obermaier; 3|Enrique Breuil; 4|Sección de Excavaciones Junta Superior del Tesoro Artístico,,,,,,,,,,,
1940,"El Cau den Serra (Cueva Sepulcral de Picamoixons, Término de Valls)",,960106,,,,"El Cau d'en Serra (Cueva sepulcral de Picamoixons, término de Valls)",,['Revista'],1|Salvador Vilaseca Anguera,,Empúries: Revista de Món Clàssic I Antiguitat Tardana,,,,,,,,,
1942,,,960476,10.5575/geosoc.49.267,,,"Geology and Ore Deposits of Nikko Mine, Keisyo-nan-do, with Special····Reference to the Genesis of Gudmundite",,['Revista'],1|Hideki IMAI,,Journal of The Geological Society of Japan,,,,,,,,,
1943,Die Megalithgräber der Iberischen Halbinsel,,960134,,,,Die Megalithgräber der iberischen Halbinsel,,['Libro'],1|Georg Klaus Leisner; 2|Vera Leisner,,de Gruyter Ebooks,,,,,,,,,Más antiguo-2000: aprox 126 con DOI
1949,A Jazida Pré-Histórica de Eira Pedrinha (Condeixa),,959757,,,,A jazida pré-histórica de Eira Pedrinha (Condeixa),,['Libro'],"1|Corrêa, A. A. Mendes, b.; 2|Carlos Teixeira",,,,,,,,,,,
1949,Un nuevo grupo de pinturas rupestres en Albarracín: La Cueva de Doña Clotilde,,959460,,,,Un nuevo grupo de pinturas rupestres en Albarracín. La cueva de Doña Clotilde,,['Revista'],1|Martín Almagro Basch,,,,,,,,,,,
1953,Las pinturas rupestres del Barranco de Les Dogues,,959457,,,,"Las pinturas rupestres del barranco de ""Les Dogues""",,['Revista'],1|Juan Bautista Porcar Ripollés,,Archivo de Prehistoria Levantina,,,,,,,,,
1954,La Cueva de Bricia (Asturias),,960122,,,,La Cueva de Bricia (Asturias),,['Revista'],1|Francisco Jordá Cerdá,,Boletín del Instituto de Estudios Asturianos,,,,,,,,,
1955,Las Necrópolis de Ampurias,,958830,,,,"Martín Almagro, Las Necrópolis de Ampurias. Vol. I. Introducción y Necrópolis griegas",,['Revista'],1|René Van Compernolle,,L'antiquité Classique,,,,,,,,,
1957,Lamont Natural Radiocarbon Measurements IV,0036-8075,959673,10.1126/science.126.3287.1324,,,Lamont Natural Radiocarbon Measurements IV,"It has been brought to our attention that wedid not designate the correct collectors of severalof the samples reported in Lamont radiocarbonmeasurements III [ Science 124, 154 (27 July1956)]. The following list gives the proper collectors for several samples in Table 4 under V. Arcticstudies : L192B, R. D. Cotell (1952); L261A,B,C,G. Hattersley-Smith (1953); L254A, L248A, R. L.Christie (1954); L254B,C,D, E. W. Marshall(1954); and L248B, G. Hattersley-Smith and A.P. Crary (1954).",['Revista'],1|W. S. Broecker; 2|J. L. Kulp,,Science,,,,,,,,,
1958,"El Castillarejo de los Moros (Andilla, Valencia)",0210-3230,960110,,,,"El Castillarejo de los Moros (Andilla, Valencia)",,['Revista'],1|Domingo Fletcher Valls; 2|José Alcacer Grau,,Archivo de Prehistoria Levantina,,,,,,,,,
1960,U. S. Geological Survey Radiocarbon Dates V,,960346,10.1017/s1061592x00020652,,,U. S. Geological Survey Radiocarbon Dates V,"The dates listed herein have been determined at the U. S. Geological Survey radiocarbon laboratory at Washington since our last date list (USGS IV) and up to the end of 1959. Acetylene continues to be the gas of our choice. Each sample is run for a period of two days in two separate counters with separate electronics. The modern standard used is wood grown in the 19th century, and the ages and errors have been computed in the same manner as before. Pretreatment of wood, charcoal, and peat samples by boiling in acid, alkali, and acid again, is standard procedure.",['Revista'],1|Meyer Rubin; 2|Corrinne Alexander,,American Journal of Science Radiocarbon Supplement,,,,,,,,,
1961,British Museum Natural Radiocarbon Measurements III,,959579,10.1017/s0033822200020816,,,British Museum Natural Radiocarbon Measurements III,"The third series of radiocarbon measurements made at the British Museum Research Laboratory is reported in the following list. Equipment and method used are as described previously (British Museum I) and, as in previous lists, the error terms are not based solely on counting statistics, but are widened to include contributions of ±80 years for possible isotopic fractionation effects and ±100 years for the de Vries effect. Ages are calculated on a half-life of 5568 ± 30 years. NBS oxalic acid is now used as a reference standard in place of 100-yr-old oak. The latter gave an age-corrected value almost exactly 95% of the oxalic-acid activity and thus no corrections are required to our previous date lists to bring them into line with the new standard.",['Revista'],1|Harold Barker; 2|John Mackey,,Radiocarbon,,,,,,,,,
1962,Ergebnisse einer Ersten Stratigraphischen Untersuchung in Carmona,0418-9744,959731,,,,Ergebnisse einer ersten stratigraphischen Untersuchung in Carmona,,['Revista'],1|Juan de Mata Carriazo y Arroquia; 2|Klaus Raddatz,,Mitteilungen Des Deutschen Archaologischen Instituts. Abteilung Madrid,,,,,,,,,
1963,"Resultado del Análisis Polínico de una Serie de Muestras de Turba Recogidas en la Ereta del Pedregal (Navarrés, Valencia)",0210-3230,960216,,,,"Resultado del análisis polínico de una serie de muestras de turba recogidas en la Ereta del Pedregal (Navarrés, Valencia)",,['Revista'],1|J. Menéndez Amor; 2|F. Florschütz,,Archivo de Prehistoria Levantina,,,,,,,,,
1964,University of Michigan Radiocarbon Dates VI,0033-8222,959762,10.1017/s0033822200020890,,,University of Michigan Radiocarbon Dates VI,"The following is a list of radiocarbon dates obtained since the preparation of the manuscript for the publication of Michigan V, in December, 1959. The method of measurement and treatment of data are the same as those described in the introductions to Michigan lists III and IV. A full statement on the Michigan counter is referred to by Crane (p. 46) in this issue.",['Revista'],1|H. R. Crane; 2|James B. Griffin,,Radiocarbon,,,,,,,,,
1963,"El Poblado y la Necrópolis Megalíticos de Los Millares (Santa Fe de Mondújar, Almería)",,959493,,,,"El poblado y la necrópolis megalíticos de Los Millares (Santa Fe de Mondújar, Almería)",,['Libro'],1|Martín Almagro; 2|Antonio Arribas,,,,,,,,,,,
1964,Hallazgos Prehistóricos en Les Llometes (Alcoy),0210-3230,960351,,,,Hallazgos prehistóricos en Les Llometes (Alcoy),,['Revista'],1|Vicente Pascual Pérez,,Archivo de Prehistoria Levantina,,,,,,,,,
