timestamp,phase,ram_gb,ram_percent
2026-06-09T14:41:37.363212,start_01_parse,9.21,29.4
2026-06-09T14:42:45.644008,parse_progress_10,9.05,28.9
2026-06-09T14:43:54.518480,parse_progress_20,8.94,28.6
2026-06-09T14:44:45.527367,parse_progress_30,8.95,28.6
2026-06-09T14:46:16.347860,parse_progress_40,9.07,29.0
2026-06-09T14:48:36.824896,parse_progress_50,9.17,29.3
2026-06-09T14:49:29.465653,parse_progress_60,9.14,29.2
2026-06-09T14:53:04.732916,parse_progress_70,9.29,29.7
2026-06-09T14:56:15.855833,parse_progress_80,9.58,30.6
2026-06-09T14:57:37.220127,parse_progress_90,9.48,30.3
2026-06-09T15:01:19.376554,parse_progress_100,9.50,30.3
2026-06-09T15:02:31.696527,parse_progress_110,9.52,30.4
2026-06-09T15:03:47.941115,parse_progress_120,9.50,30.3
2026-06-09T15:04:47.648997,parse_progress_130,9.51,30.4
2026-06-09T15:05:47.811676,parse_progress_140,9.51,30.4
2026-06-09T15:09:19.517204,parse_progress_150,9.59,30.7
2026-06-09T15:11:43.042061,parse_progress_160,9.56,30.6
2026-06-09T15:12:30.356062,parse_progress_170,9.57,30.6
2026-06-09T15:15:40.260148,parse_progress_180,9.54,30.5
2026-06-09T15:16:47.303649,parse_progress_190,9.56,30.6
2026-06-09T15:17:50.323230,parse_progress_200,9.55,30.5
2026-06-09T15:21:11.009975,parse_progress_210,9.52,30.4
2026-06-09T15:22:37.295234,parse_progress_220,9.54,30.5
2026-06-09T15:25:09.880770,parse_progress_230,9.59,30.6
2026-06-09T15:27:06.167911,parse_progress_240,9.58,30.6
2026-06-09T15:29:36.006950,parse_progress_250,9.62,30.7
2026-06-09T15:33:15.379652,parse_progress_260,9.58,30.6
2026-06-09T15:36:03.214188,parse_progress_270,9.57,30.6
2026-06-09T15:37:43.286763,start_01_parse,8.35,26.7
2026-06-09T15:38:50.615601,parse_progress_10,8.87,28.3
2026-06-09T15:41:07.819731,start_01_parse,8.40,26.8
2026-06-09T15:42:15.706625,parse_progress_10,8.93,28.5
2026-06-09T15:43:21.813294,parse_progress_20,9.01,28.8
2026-06-09T15:44:11.781440,parse_progress_30,9.01,28.8
2026-06-09T15:45:38.893386,parse_progress_40,9.17,29.3
2026-06-09T15:47:55.013546,parse_progress_50,9.26,29.6
2026-06-09T15:48:44.083381,parse_progress_60,9.24,29.5
2026-06-09T15:52:13.088213,parse_progress_70,9.40,30.0
2026-06-09T15:55:18.989322,parse_progress_80,9.60,30.7
2026-06-09T15:56:46.175870,parse_progress_90,9.52,30.4
2026-06-09T16:00:11.614126,parse_progress_100,9.54,30.5
2026-06-09T16:01:20.066268,parse_progress_110,9.52,30.4
2026-06-09T16:02:33.294894,parse_progress_120,9.56,30.5
2026-06-09T16:03:30.634853,parse_progress_130,9.56,30.5
2026-06-09T16:04:28.024676,parse_progress_140,9.54,30.5
2026-06-09T16:07:54.145452,parse_progress_150,9.62,30.7
2026-06-09T16:10:11.760861,parse_progress_160,9.61,30.7
2026-06-09T16:10:57.188182,parse_progress_170,9.61,30.7
2026-06-09T16:14:02.647532,parse_progress_180,9.59,30.6
2026-06-09T16:15:07.033023,parse_progress_190,9.62,30.7
2026-06-09T16:16:08.500144,parse_progress_200,9.59,30.6
2026-06-09T16:19:22.399164,parse_progress_210,9.64,30.8
2026-06-09T16:20:45.153215,parse_progress_220,9.64,30.8
2026-06-09T16:23:17.427725,parse_progress_230,9.63,30.8
2026-06-09T16:25:11.489549,parse_progress_240,9.62,30.7
2026-06-09T16:27:42.585440,parse_progress_250,9.66,30.9
2026-06-09T16:31:21.458041,parse_progress_260,9.64,30.8
2026-06-09T16:34:09.245902,parse_progress_270,9.66,30.9
2026-06-09T16:39:34.581765,parse_progress_280,9.62,30.7
2026-06-09T16:44:17.604298,parse_progress_290,9.64,30.8
2026-06-09T16:44:47.881815,parse_progress_300,9.62,30.7
2026-06-09T16:46:41.869862,parse_progress_310,9.63,30.8
2026-06-09T16:47:39.768981,parse_progress_320,9.65,30.8
2026-06-09T16:48:22.517800,parse_progress_330,9.68,30.9
2026-06-09T16:50:26.614073,parse_progress_340,10.01,32.0
2026-06-09T16:54:47.667531,parse_progress_350,9.86,31.5
2026-06-09T17:02:33.574397,parse_progress_360,10.13,32.3
2026-06-09T17:05:42.128659,parse_progress_370,9.93,31.7
2026-06-09T17:06:25.609134,parse_progress_380,9.94,31.8
2026-06-09T17:11:19.605400,parse_progress_390,9.98,31.9
2026-06-09T17:14:50.603528,parse_progress_400,10.00,31.9
2026-06-09T17:16:02.189003,parse_progress_410,10.01,32.0
2026-06-09T17:17:54.702959,parse_progress_420,10.06,32.1
2026-06-09T17:18:53.605375,parse_progress_430,10.25,32.7
2026-06-09T17:20:55.775055,parse_progress_440,10.14,32.4
2026-06-09T17:21:40.190818,parse_progress_450,10.10,32.3
2026-06-09T17:24:34.572923,parse_progress_460,10.06,32.1
2026-06-09T17:26:13.562284,parse_progress_470,10.15,32.4
2026-06-09T17:27:17.841818,parse_progress_480,10.07,32.2
2026-06-09T17:30:20.388176,parse_progress_490,10.09,32.2
2026-06-09T17:31:14.398169,parse_progress_500,10.07,32.2
2026-06-09T17:33:17.663661,parse_progress_510,10.16,32.5
2026-06-09T17:34:49.944160,parse_progress_520,10.18,32.5
2026-06-09T17:36:35.175931,end_01_parse,10.55,33.7
