topic_id,num_docs,top_words
0,30,"isotope, individual, bone, adult, tooth, enamel, strontium, ratio, range, plant, burial, layer, diet, isotopic, datum, remains, sheep, mobility, cova, collagen"
1,155,"funerario, fosa, enterramiento, individuo, piedra, poblado, siglo, hierro, construcción, cerro, pieza, castro, calcolítico, foso, hueso, muro, ritual, sepultura, tumba, tierra"
2,8,"men, navarra, cogotas, alii, sílex, lám, lasca, industria, soporte, pieza, eraso, hueso, talla, óseo, producto, distal, lámina, plano, talón, retoque"
3,9,"túmulo, monumento, cámara, dolmen, megalítico, delibes, corredor, extremadura, españa, rojo, científicas, estela, necrópoli, beta, tumba, funerario, castro, consejo, estudios, necrópolis"
4,4,"borde, gris, urna, plato, cuadrícula, pasta, torno, ajuar, boca, rojo, fuego, fino, situación, campaña, cuarzo, hueso, plano, extremo, color, rectangular"
5,10,"campaniforme, meseta, tipo, ello, ciempozuelos, aunque, mayor, parte, estilo, caso, casos, grupos, pue, ejemplo, solo, gran, motivos, embargo, recipiente, total"
6,29,"lisboa, anta, região, megalitismo, sepulcro, milénio, câmara, portugal, gonçalves, datação, gruta, peça, osso, ferreira, pedra, silva, referir, funerário, ribeiro, registar"
7,4,"campaniforme, cerâmica, portugal, idade, maria, ferro, bettencourt, porto, cronologia, norte, maia, sanches, recipiente, prieto, castro, santa, noroeste, recinto, garma, área"
8,21,"cova, jaciment, neolític, draga, barcelona, caldre, datació, fusta, part, gran, cardial, antic, excavació, fet, ocupació, fragment, catalunya, partir, garcía, treball"
9,112,"date, bone, individual, cave, burial, oxa, mesolithic, year, tomb, charcoal, time, evidence, model, university, base, layer, datum, probability, funerary, activity"
10,131,"abrigo, cova, beta, mesolítico, arte, cardial, ebro, valencina, alicante, producción, josé, sílex, especie, unidad, sevilla, carbón, cavidad, manuel, mediterráneo"
